n,P
1,0.02
2,0.031
3,0.0467
4,0.0683
5,0.0975
6,0.1361
7,0.1861
8,0.2499
9,0.3299
10,0.4288
11,0.5496
12,0.6952
13,0.869
14,1.0742
15,1.3143
16,1.5928
17,1.9134
18,2.2797
19,2.6954
20,3.1642
21,3.6898
22,4.2759
23,4.9262
24,5.6441
25,6.4334
26,7.2974
27,8.2397
28,9.2634
29,10.372
30,11.5685
31,12.8561
32,14.2377
33,15.7162
34,17.2945
35,18.9752
36,20.761
37,22.6543
38,24.6577
39,26.7735
40,29.0039
41,31.3512
42,33.8174
43,36.4047
44,39.1149
45,41.9493
46,44.9082
47,47.9915
48,51.199
49,54.5299
50,57.9834
51,61.5607
52,65.2695
53,69.1187
54,73.1187
55,77.281
56,81.6182
57,86.145
58,90.8774
59,95.828
60,101.0047
61,106.4153
62,112.0681
63,117.9714
64,124.1337
65,130.5637
66,137.2703
67,144.2624
68,151.5493
69,159.1403
70,167.045
71,175.2731
72,183.8344
73,192.7389
74,201.9969
75,211.6186
76,221.6146
77,231.9954
78,242.7719
79,253.9549
80,265.5556
81,277.5852
82,290.0548
83,302.9762
84,316.3607
85,330.2202
86,344.5663
87,359.4111
88,374.7666
89,390.645
90,407.0583
91,424.019
92,441.5395
93,459.6321
94,478.3096
95,497.5845
96,517.4198
97,537.7195
98,558.343
99,579.1926
100,600.1668
101,621.1624
102,642.0764
103,662.8084
104,683.262
105,703.3467
106,722.9795
107,742.0855
108,760.5996
109,778.4661
110,795.6396
111,812.0847
112,827.7756
113,842.6959
114,856.8376
115,870.2004
116,882.791
117,894.6222
118,905.7116
119,916.0815
120,925.7571
121,934.7666
122,943.1399
123,950.9082
124,958.1037
125,964.7584
126,970.9046
127,976.5737
128,981.7968
129,986.6036
130,991.023
131,995.0824
132,998.8081
133,1002.225
134,1005.3562
135,1008.2239
136,1010.8487
137,1013.25
